Activity Period,GEO Summary,Passenger Count
201205,International,864712
201304,International,751290
201806,Domestic,4039838
201209,International,837842
201803,Domestic,3579413
201403,International,782604
201410,Domestic,3216218
201612,International,1042870
201902,Domestic,2763185
201210,Domestic,3035032
201111,Domestic,2676051
201611,International,921941
201708,Domestic,4135082
201712,Domestic,3590008
201308,International,984955
201302,Domestic,2353427
201701,Domestic,2888610
201206,International,919684
201905,International,1342218
201605,International,1051210
201401,International,767149
201503,Domestic,3157697
201311,Domestic,2760327
201505,Domestic,3357598
201407,International,1024386
201601,International,915915
201202,Domestic,2381898
201812,International,1171603
201310,Domestic,3072951
201201,Domestic,2491978
201305,Domestic,3051600
201502,International,719579
201908,International,1514212
201211,Domestic,2789471
201307,International,956695
201906,Domestic,3972171
201105,Domestic,2733013
201706,International,1304775
201907,Domestic,4081947
201710,Domestic,3764139
201909,International,1279223
201709,Domestic,3579260
201511,International,835024
201406,Domestic,3337175
201204,Domestic,2800588
201508,International,1137068
201801,International,1046035
201602,Domestic,2746123
201703,International,985171
201507,International,1139332
201402,International,670801
201904,International,1204369
201707,International,1398121
201510,Domestic,3422245
201504,Domestic,3155573
201110,Domestic,2829239
201506,International,1070727
201811,Domestic,3418372
201109,International,783816
201705,International,1136311
201501,International,807367
201512,International,914777
201101,Domestic,2188831
201108,International,888552
201312,Domestic,3037334
201608,Domestic,3873557
201711,Domestic,3593895
201804,Domestic,3630813
201607,International,1263574
201207,International,947043
201405,Domestic,3211422
201606,International,1176882
201103,International,684745
201805,Domestic,3818359
201807,International,1452910
201112,Domestic,2721962
201212,Domestic,2711230
201901,International,1148799
201306,International,934811
201610,International,1041446
201802,Domestic,2963364
201303,Domestic,2860027
201603,International,909798
201411,Domestic,2896972
201309,International,859816
201102,International,583371
201106,International,850288
201404,International,807839
201104,International,714593
201409,International,876087
201107,Domestic,3038721
201509,Domestic,3247678
201609,Domestic,3463521
201412,Domestic,3041095
201704,Domestic,3362995
201808,Domestic,4129456
201810,Domestic,3674021
201903,International,1149326
201604,Domestic,3244410
201301,International,706878
201203,International,711710
201809,International,1201578
201408,Domestic,3494105
201702,Domestic,2644126
201208,International,952632
201202,International,616221
201601,Domestic,2832614
201407,Domestic,3474835
201305,International,881416
201310,International,837839
201201,International,719622
201812,Domestic,3404846
201502,Domestic,2528565
201908,Domestic,4228225
201710,International,1104535
201105,International,814791
201706,Domestic,3829335
201907,International,1530365
201211,International,689419
201307,Domestic,3219791
201906,International,1494517
201406,International,984658
201511,Domestic,3178790
201709,International,1156745
201909,Domestic,3192185
201703,Domestic,3350116
201602,International,797516
201204,International,762419
201508,Domestic,3659585
201801,Domestic,3144332
201402,Domestic,2407604
201507,Domestic,3661816
201707,Domestic,4098395
201904,Domestic,3488572
201803,International,1094622
201209,Domestic,2981537
201806,International,1387306
201205,Domestic,2955858
201304,Domestic,2852814
201612,Domestic,3300499
201403,Domestic,2982900
201410,International,843225
201111,International,650808
201210,International,809955
201902,International,989578
201708,International,1381755
201611,Domestic,3344540
201712,International,1070496
201302,International,613050
201701,International,1009075
201308,Domestic,3362104
201401,Domestic,2665476
201503,International,843824
201311,International,706551
201605,Domestic,3522786
201206,Domestic,3187511
201905,Domestic,3665783
201505,International,1003542
201303,International,733337
201603,Domestic,3227881
201610,Domestic,3530551
201802,International,918817
201102,Domestic,2027296
201411,International,731814
201309,Domestic,2921352
201106,Domestic,2916035
201404,Domestic,3074054
201104,Domestic,2485934
201412,International,814740
201704,International,1062925
201107,International,896868
201509,International,953716
201609,International,1080238
201409,Domestic,3042985
201903,Domestic,3449863
201810,International,1187761
201808,International,1416403
201301,Domestic,2497759
201203,Domestic,2760730
201604,International,928102
201408,International,1030813
201809,Domestic,3447522
201208,Domestic,3403584
201702,International,837279
201510,International,952504
201504,International,866104
201506,Domestic,3487784
201110,International,773216
201705,Domestic,3561756
201109,Domestic,2781154
201811,International,1090234
201101,International,694979
201512,Domestic,3214275
201501,Domestic,2742717
201207,Domestic,3337400
201405,International,935674
201607,Domestic,3905150
201108,Domestic,3029332
201312,International,777650
201608,International,1237081
201711,International,978807
201804,International,1082370
201807,Domestic,4239662
201805,International,1207236
201103,Domestic,2444460
201606,Domestic,3745243
201306,Domestic,3211986
201212,International,731809
201901,Domestic,3008022
201112,International,719731
