Activity Period,GEO Summary,Passenger Count,GEO Region
201901,Domestic,3008022,US
201907,International,472325,Europe
201908,International,530348,Asia
201907,International,230754,Canada
201902,International,228925,Europe
201903,Domestic,3449863,US
201902,International,110540,Canada
201908,International,28907,Central America
201907,International,79254,Australia / Oceania
201901,International,34232,Central America
201903,International,474565,Asia
201902,International,72566,Australia / Oceania
201901,International,520561,Asia
201903,International,29543,Central America
201906,International,50729,Middle East
201906,International,127620,Mexico
201908,Domestic,4228225,US
201905,International,163609,Canada
201903,International,107210,Mexico
201903,International,40272,Middle East
201905,International,411071,Europe
201906,International,33081,Central America
201909,International,186610,Canada
201904,International,134024,Canada
201909,International,444038,Europe
201906,International,531929,Asia
201901,International,37112,Middle East
201904,International,361647,Europe
201901,International,111092,Mexico
201908,International,111817,Mexico
201908,International,52604,Middle East
201905,International,71669,Australia / Oceania
201906,Domestic,3972171,US
201904,International,71637,Australia / Oceania
201909,International,67394,Australia / Oceania
201904,International,463267,Asia
201909,International,434506,Asia
201905,International,30363,Central America
201906,International,458267,Europe
201906,International,216140,Canada
201905,International,515524,Asia
201909,International,27751,Central America
201904,International,29186,Central America
201905,Domestic,3665783,US
201906,International,76751,Australia / Oceania
201902,International,87101,Mexico
201902,International,36806,Middle East
201904,Domestic,3488572,US
201907,International,52746,Middle East
201909,Domestic,3192185,US
201907,International,133392,Mexico
201902,International,425443,Asia
201901,International,88354,Australia / Oceania
201907,International,33480,Central America
201908,International,478679,Europe
201907,International,528414,Asia
201903,International,83828,Australia / Oceania
201908,International,235548,Canada
201902,International,28197,Central America
201901,International,102943,Canada
201909,International,72449,Mexico
201907,Domestic,4081947,US
201909,International,46475,Middle East
201904,International,41308,Middle East
201901,International,254505,Europe
201904,International,103300,Mexico
201903,International,127183,Canada
201908,International,76309,Australia / Oceania
201903,International,286725,Europe
201902,Domestic,2763185,US
201905,International,104668,Mexico
201905,International,45314,Middle East
